FTHG,FTAG,Date,FTR,HomeTeam,AwayTeam
1,4,14/08/1993,A,Go Ahead Eagles,Vitesse
1,0,14/08/1993,H,SC Heerenveen,Sparta Rotterdam
2,3,14/08/1993,A,NAC Breda,Roda JC
1,0,14/08/1993,H,Willem II,MVV Maastricht
2,2,15/08/1993,D,FC Volendam,FC Utrecht
3,0,15/08/1993,H,Ajax,RKC Waalwijk
1,0,15/08/1993,H,Feyenoord,SC Cambuur
1,2,15/08/1993,A,FC Groningen,PSV Eindhoven
3,0,15/08/1993,H,FC Twente,VVV-Venlo
1,3,20/08/1993,A,SC Cambuur,NAC Breda
3,0,21/08/1993,H,PSV Eindhoven,Go Ahead Eagles
2,0,22/08/1993,H,Roda JC,FC Volendam
1,0,22/08/1993,H,Sparta Rotterdam,Willem II
1,4,22/08/1993,A,FC Utrecht,Ajax
1,3,22/08/1993,A,RKC Waalwijk,FC Twente
0,3,25/08/1993,A,Willem II,Vitesse
4,1,25/08/1993,H,FC Volendam,SC Cambuur
1,1,25/08/1993,D,MVV Maastricht,RKC Waalwijk
0,0,25/08/1993,D,SC Heerenveen,PSV Eindhoven
4,1,25/08/1993,H,NAC Breda,VVV-Venlo
4,0,25/08/1993,H,Go Ahead Eagles,FC Utrecht
1,0,25/08/1993,H,Feyenoord,FC Twente
3,5,25/08/1993,A,FC Groningen,Roda JC
3,0,25/08/1993,H,Ajax,Sparta Rotterdam
2,0,28/08/1993,H,VVV-Venlo,FC Volendam
0,1,29/08/1993,A,FC Utrecht,SC Heerenveen
0,1,29/08/1993,A,FC Twente,NAC Breda
2,2,29/08/1993,D,Sparta Rotterdam,MVV Maastricht
0,1,29/08/1993,A,Vitesse,Ajax
2,1,29/08/1993,H,PSV Eindhoven,Willem II
0,2,29/08/1993,A,SC Cambuur,FC Groningen
2,1,29/08/1993,H,Roda JC,Go Ahead Eagles
1,2,31/08/1993,A,RKC Waalwijk,Feyenoord
1,1,01/09/1993,D,MVV Maastricht,Ajax
2,0,01/09/1993,H,FC Utrecht,FC Groningen
